term,jsd,count_legal,count_popular,neighbours,scaled_jsd
arms,0.5494678002694895,886,3114,766,0.8185378590078329
return,0.549121382607619,1071,2929,584,0.8184931506849316
issue,0.5771601192970501,2533,1467,1501,0.8174550299800133
entered,0.5647904727721819,1484,2516,985,0.8142131979695432
inferior,0.5903594078432701,1476,2524,2230,0.8085201793721973
contrary,0.5396720811556371,1407,2593,747,0.8058902275769746
lay,0.5375248691581452,980,3020,726,0.8057851239669421
nature,0.5243302554780519,474,3526,302,0.804635761589404
witness,0.5781933043147683,939,3061,1839,0.8020663404023926
care,0.5374818540404264,666,3334,670,0.8014925373134328
gold,0.5700787209885737,762,3238,1628,0.800982800982801
returns,0.5942146113879581,1560,2440,2594,0.7991518889745567
together,0.5336218170190378,877,3123,537,0.7988826815642458
writings,0.6044774406145957,758,3242,2888,0.7970914127423823
choice,0.565832097207947,866,3134,1605,0.7962616822429907
others,0.5236048695663335,749,3251,309,0.7928802588996764
said,0.5507522197251483,2098,1902,48,0.7916666666666666
day,0.49156672815463065,1161,2839,96,0.7916666666666666
common,0.5280461298226568,1122,2878,404,0.7896039603960396
delaware,0.5517808496324748,2143,1857,1233,0.7891321978913219
domestic,0.6861407180871721,42,1540,4197,0.7884203002144389
journal,0.5892878989152186,2965,1035,2693,0.7816561455625696
concurrence,0.5893768433090942,2544,1456,2817,0.7795527156549521
post,0.5590700415422435,1810,2190,1565,0.7795527156549521
confession,0.6388950578707293,304,2330,3700,0.7778378378378379
being,0.4987437899847409,1050,2950,90,0.7777777777777778
age,0.5255146631136662,598,3402,662,0.7764350453172205
advice,0.5572707632778007,1150,2850,1476,0.7757452574525745
counsel,0.5882374093373068,818,3182,2836,0.7736248236953456
account,0.5234972666361962,1357,2643,374,0.7727272727272727
judge,0.5251241397417896,1540,2460,680,0.7676470588235295
state,0.48673289246541523,1834,2166,90,0.7666666666666667
twice,0.5853392703480165,1107,2893,2859,0.7646030080447709
directed,0.5283240708512915,1598,2402,813,0.7626076260762608
heads,0.5676621806986539,506,3494,2171,0.7623215108245048
attendance,0.5724694675425454,1497,2503,2455,0.7621181262729124
own,0.49020296740755,523,3477,150,0.76
large,0.5241202203283701,548,3452,443,0.7562076749435666
ministers,0.5339744731007718,787,3213,1276,0.7554858934169278
notwithstanding,0.5328569030001978,1027,2973,1247,0.7522052927024859
person,0.4929891510593004,2019,1981,197,0.751269035532995
acceptance,0.6306857654346312,786,1584,3877,0.7485168945060614
original,0.5333929913162447,1614,2386,1347,0.7453600593912398
behavior,0.5570324118493304,655,3345,2178,0.7424242424242424
thing,0.5099905133608622,620,3380,323,0.739938080495356
pass,0.5248485906402106,1056,2944,901,0.7391786903440621
war,0.5025049027414485,1695,2305,253,0.7391304347826086
vest,0.6682677689227182,571,831,4186,0.7386526516961299
chief,0.5235680622598987,1293,2707,849,0.7385159010600707
authority,0.5146254065195466,2039,1961,347,0.7377521613832853
favor,0.5179658485144344,1360,2640,651,0.7373271889400922
call,0.5147286103186551,683,3317,763,0.7352555701179554
