term,jsd,count_legal,count_popular,neighbours,scaled_jsd
poetry,0.8717963815771861,3,1150,4062,0.9566715903495815
like,0.6247274534869994,649,3351,253,0.9565217391304348
art,0.7062791772837809,563,3437,874,0.9565217391304348
ao,0.8971356357107033,649,5,3150,0.9565079365079365
rite,0.9049461521536059,62,513,2837,0.9562918575960522
prophet,0.7934223945595552,9,3988,3038,0.956221198156682
realms,0.8700178229875435,6,1167,4086,0.9561918746940773
sun,0.7133346390355866,126,3874,1206,0.9560530679933665
beheld,0.8114958248685719,38,3195,3388,0.956021251475797
wig,0.9041904603103668,17,564,2865,0.956020942408377
black,0.7152658679498322,114,3886,954,0.9559748427672956
dove,0.8673649091485051,15,1187,4112,0.955739299610895
tim,0.8595810885029048,367,957,4173,0.9556673855739276
sage,0.8659405884879603,70,1139,4126,0.9556471158507028
heathen,0.8302143666787817,32,2319,3890,0.9555269922879177
pour,0.800752967732197,268,3365,3209,0.9554378311000311
pain,0.722779074976352,365,3635,1638,0.9554334554334555
loft,0.8630221186584148,950,285,4149,0.955410942395758
inclining,0.829186766292901,23,2401,3834,0.9553990610328639
robe,0.8942842376606466,40,635,3206,0.9553961322520275
cale,0.9319441005080211,365,12,1971,0.9553526128868595
flies,0.8506182846126835,20,1582,4187,0.9553379508000955
sov,0.9399226030691877,6,286,1544,0.9553108808290155
ini,0.8953860107830803,637,3,3109,0.9552910903827597
tares,0.9441767095309767,27,236,1386,0.9552669552669553
frail,0.8989479388513807,11,606,3016,0.955238726790451
saviour,0.7382027261319523,7,3993,2122,0.9552309142318567
ray,0.840809824833049,302,1660,4082,0.9551690347868692
eld,0.9128969001354208,110,360,2407,0.9551308683007894
heavens,0.8106039683999002,4,2930,3554,0.9549803038829487
oin,0.8298210787504656,163,2224,3864,0.9549689440993789
beam,0.8579815656785159,20,1312,4178,0.9547630445189086
beauty,0.7226950358883039,17,3983,1812,0.9547461368653422
wings,0.8278959583441257,37,2384,3834,0.9546165884194053
folk,0.9633745905847114,40,81,639,0.9546165884194053
inward,0.7991864530341437,41,3568,3214,0.95457373988799
fig,0.8715400223873214,75,1028,4037,0.9544216001981669
painting,0.8869437670652917,19,791,3574,0.9543928371572468
lofty,0.8489291870379649,5,1544,4197,0.954253037884203
cold,0.7197875362003419,45,3955,1504,0.9541223404255319
hero,0.8227420198026504,49,2526,3723,0.9540692989524577
hare,0.8796504651053026,308,565,3713,0.9539455965526529
mix,0.836826434596926,154,1841,4057,0.9539068277052009
dispensation,0.8350355177716207,36,2109,3985,0.9538268506900879
shadowy,0.9447626474119338,3,256,1363,0.9537784299339692
luch,0.8483125831000503,1585,4,4191,0.9537103316630876
forsaken,0.8735068117250179,5,994,3917,0.9535358692877202
delight,0.746457780809062,20,3980,2517,0.9535160905840286
heavenly,0.7445597591937403,7,3993,2472,0.9534789644012945
christian,0.6976373612163261,277,3723,902,0.9534368070953437
fath,0.957632271162412,31,131,855,0.9532163742690059
brown,0.6997679086138724,577,3423,1237,0.9531123686337915
eat,0.7414904958878363,167,3833,2300,0.9530434782608695
whig,0.8618030078717012,5,1167,4088,0.9527886497064579
pin,0.9001311065850666,56,505,2783,0.9525691699604744
pilgrim,0.9282564720818719,18,348,1918,0.9525547445255474
covenant,0.7187500855720674,369,3631,1767,0.9524617996604414
ai,0.806653797882172,2884,185,3468,0.9524221453287197
dress,0.7511563224767023,43,3957,2584,0.9523993808049536
sized,0.9225867100456371,14,380,2057,0.9523578026251823
